District,OwnRatio-2005,OwnRatio-2015,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2015,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2015,PropSuitable-2038,PropSuitable-2050
369,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
370,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
371,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
372,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
373,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
374,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
375,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
376,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
377,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
378,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
379,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
380,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
381,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
382,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
383,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
384,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
385,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
386,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
387,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
388,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
389,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
390,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
391,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
392,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
393,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
394,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
