District,Type,A24,A5P,MH,SFA,SFD,GQ
123,Metropolitan,0,179,3,76,482,0
123,Rural,0,0,0,0,0,0
123,Town,0,0,0,0,0,0
124,Metropolitan,6,510,4,300,1186,0
124,Rural,0,0,0,0,0,0
124,Town,0,0,0,0,0,0
125,Metropolitan,0,32,0,7,29,0
125,Rural,0,0,0,0,0,0
125,Town,0,0,0,0,0,0
126,Metropolitan,7,687,8,148,682,0
126,Rural,0,0,0,0,0,0
126,Town,0,0,0,0,0,0
127,Metropolitan,5,342,4,42,357,0
127,Rural,0,0,0,0,0,0
127,Town,0,0,0,0,0,0
128,Metropolitan,5,280,2,30,231,0
128,Rural,0,0,0,0,0,0
128,Town,0,0,0,0,0,0
129,Metropolitan,0,0,0,0,10,0
129,Rural,0,0,0,0,0,0
129,Town,0,0,0,0,0,0
130,Metropolitan,4,206,0,18,89,0
130,Rural,0,0,0,0,0,0
130,Town,0,0,0,0,0,0
131,Metropolitan,5,327,4,40,309,0
131,Rural,0,0,0,0,0,0
131,Town,0,0,0,0,0,0
132,Metropolitan,2,108,0,9,51,0
132,Rural,0,0,0,0,0,0
132,Town,0,0,0,0,0,0
133,Metropolitan,0,2,0,0,10,0
133,Rural,0,0,0,0,0,0
133,Town,0,0,0,0,0,0
134,Metropolitan,0,0,0,0,10,0
134,Rural,0,0,0,0,0,0
134,Town,0,0,0,0,0,0
135,Metropolitan,4,169,1,25,252,0
135,Rural,0,0,0,0,0,0
135,Town,0,0,0,0,0,0
136,Metropolitan,1,28,0,4,44,0
136,Rural,0,0,0,0,0,0
136,Town,0,0,0,0,0,0
137,Metropolitan,5,212,0,45,481,0
137,Rural,0,0,0,0,0,0
137,Town,0,0,0,0,0,0
138,Metropolitan,2,273,0,90,539,0
138,Rural,0,0,0,0,0,0
138,Town,0,0,0,0,0,0
139,Metropolitan,5,110,1,13,182,0
139,Rural,0,0,0,0,0,0
139,Town,0,0,0,0,0,0
140,Metropolitan,3,38,0,6,45,0
140,Rural,0,0,0,0,0,0
140,Town,0,0,0,0,0,0
141,Metropolitan,4,179,1,33,292,0
141,Rural,0,0,0,0,0,0
141,Town,0,0,0,0,0,0
142,Metropolitan,5,167,0,25,265,0
142,Rural,0,0,0,0,0,0
142,Town,0,0,0,0,0,0
143,Metropolitan,3,292,2,53,299,0
143,Rural,0,0,0,0,0,0
143,Town,0,0,0,0,0,0
144,Metropolitan,2,64,0,7,11,0
144,Rural,0,0,0,0,0,0
144,Town,0,0,0,0,0,0
145,Metropolitan,6,302,1,43,293,0
145,Rural,0,0,0,0,0,0
145,Town,0,0,0,0,0,0
146,Metropolitan,4,297,1,80,468,0
146,Rural,0,0,0,0,0,0
146,Town,0,0,0,0,0,0
147,Metropolitan,6,273,4,64,675,0
147,Rural,0,0,0,0,0,0
147,Town,0,0,0,0,0,0
148,Metropolitan,4,166,0,19,205,0
148,Rural,0,0,0,0,0,0
148,Town,0,0,0,0,0,0
149,Metropolitan,4,114,1,14,164,0
149,Rural,0,0,0,0,0,0
149,Town,0,0,0,0,0,0
150,Metropolitan,5,466,1,154,1001,0
150,Rural,0,0,0,0,0,0
150,Town,0,0,0,0,0,0
151,Metropolitan,0,4,0,2,5,0
151,Rural,0,0,0,0,0,0
151,Town,0,0,0,0,0,0
152,Metropolitan,4,204,2,66,674,0
152,Rural,0,0,0,0,0,0
152,Town,0,0,0,0,0,0
153,Metropolitan,5,184,0,27,211,0
153,Rural,0,0,0,0,0,0
153,Town,0,0,0,0,0,0
154,Metropolitan,6,213,0,46,350,0
154,Rural,0,0,0,0,0,0
154,Town,0,0,0,0,0,0
155,Metropolitan,3,87,1,20,312,0
155,Rural,0,0,0,0,0,0
155,Town,0,0,0,0,0,0
156,Metropolitan,7,426,3,151,609,0
156,Rural,0,0,0,0,0,0
156,Town,0,0,0,0,0,0
157,Metropolitan,3,92,0,12,84,0
157,Rural,0,0,0,0,0,0
157,Town,0,0,0,0,0,0
158,Metropolitan,0,0,0,0,10,0
158,Rural,0,0,0,0,0,0
158,Town,0,0,0,0,0,0
159,Metropolitan,4,90,1,11,127,0
